date,venue,title,year,synopsis,url,cost,details,rating,posterSource,poster
"4 May 2016",owls-head-park-brooklyn,"Star Wars: The Clone Wars",2008,"Anakin Skywalker and Ahsoka Tano must rescue the kidnapped son of Jabba the Hutt, but political intrigue complicates their mission.",http://www.nycgovparks.org/events/2016/05/04/movies-in-the-parks-star-wars-the-force-awakens-pg13,,"7:30 p.m. –10:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BMTI1MDIwMTczOV5BMl5BanBnXkFtZTcwNTI4MDE3MQ@@._V1_SX300.jpg,/img/posters/2016/star-wars-the-clone-wars-2008.jpg
"6 May 2016",maurice-park-queens,Minions,2015,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",http://www.nycgovparks.org/events/2016/05/06/movie-night-minions,,"7:00 p.m. –9:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,/img/posters/2016/minions-2015.jpg
"6 May 2016",crotona-park-playground-bronx,42,2013,"The story of Jackie Robinson from his signing with the Brooklyn Dodgers organization in 1945 to his historic 1947 rookie season when he broke the color barrier in Major League Baseball.",http://www.nycgovparks.org/events/2016/05/06/movies-under-the-stars-series-42,,"7:00 p.m. –9:00 p.m.",PG-13,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,/img/posters/2016/42-2013.jpg
"6 May 2016",st-james-recreation-center-bronx,"Peace Officer",2015,"Peace Officer is a documentary about the increasingly militarized state of American police as told through the story of 'Dub' Lawrence, a former sheriff who established and trained his ...",http://www.nycgovparks.org/events/2016/05/06/arts-culture-fun-peace-officer,,"6:00 p.m.–8:00 p.m.",N/A,http://ia.media-imdb.com/images/M/MV5BMTA0OTMzMDM4MDJeQTJeQWpwZ15BbWU4MDA3Njk1NDYx._V1_SX300.jpg,/img/posters/2016/peace-officer-2015.jpg
"7 May 2016",george-harvey-park-queens,"The Mighty Ducks",1992,"A self-centered lawyer is sentenced to community service coaching a rag tag youth hockey team.",http://www.nycgovparks.org/events/2016/05/07/movie-night-the-mighty-ducks,,"8:00 p.m. –10:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BMTIzMzgxOTQwMV5BMl5BanBnXkFtZTcwMzkzNDYyMQ@@._V1_SX300.jpg,/img/posters/2016/the-mighty-ducks-1992.jpg
"20 May 2016",john-golden-park-queens,Rocky,1976,"Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect.",http://www.nycgovparks.org/events/2016/05/20/drive-in-movie,,"Drive-in screening, but grass seating available.

8:00 p.m.–10:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX300.jpg,/img/posters/2016/rocky-1976.jpg
"28 May 2016",crotona-park-amphitheater-bronx,"Jurassic World",2015,"A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction--a genetically modified giant stealth killing machine--escapes containment and goes on a killing spree.",http://www.nycgovparks.org/events/2016/05/28/movies-under-the-stars-series-star-wars-the-force-awakens,,"7:00 p.m. –9:00 p.m.",PG-13,http://ia.media-imdb.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg,/img/posters/2016/jurassic-world-2015.jpg
"8 Jun 2016",unisphere-flushing-meadows-corona-park-queens,"Inside Out",2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",http://www.nycgovparks.org/events/2016/06/08/fmcp-movie-night-inside-out,,"8:00 p.m.–10:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,/img/posters/2016/inside-out-2015.jpg
"5 Jul 2016",111-parking-lot-flushing-meadows-corona-park-queens,"Ice Age: Dawn of the Dinosaurs",2009,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",http://www.nycgovparks.org/events/2016/07/05/fmcp-movie-night-ice-age-dawn-of-the-dinosaurs,,,PG,http://ia.media-imdb.com/images/M/MV5BMjA4NDI0Mjg4NV5BMl5BanBnXkFtZTcwOTM1NTY0Mg@@._V1_SX300.jpg,/img/posters/2016/ice-age-dawn-of-the-dinosaurs-2009.jpg
"6 Jul 2016",pier-1-riverside-park-south-manhattan,"The Walk",2015,"In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.",http://www.nycgovparks.org/events/2016/07/06/summer-on-the-hudson-pier-i-picture-show,,"6:30 p.m.–11:00 p.m.",PG,http://ia.media-imdb.com/images/M/MV5BNTY4MzA4Mzc5Nl5BMl5BanBnXkFtZTgwNDIzMzk5NjE@._V1_SX300.jpg,/img/posters/2016/the-walk-2015.jpg
