date,venue,title,year,synopsis,url,cost,details,rating,posterSource,poster
2015-06-01T00:00:00-04:00,death-ave,"A Streetcar Named Desire",1951,"Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.",http://www.deathave.com/pdf/MovieNights.pdf,,"Amenities: Adjacent to the High Line, hanging lanterns, heat lamps, blankets, retractable roof, and restaurant",PG,http://ia.media-imdb.com/images/M/MV5BMTk3OTQ4MzY3M15BMl5BanBnXkFtZTcwODM0ODcyMg@@._V1_SX300.jpg,/img/posters/2015/a-streetcar-named-desire-1951.jpg
2015-06-03T00:00:00-04:00,yotel,"Top Gun",1986,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMTY3ODg4OTU3Nl5BMl5BanBnXkFtZTYwMjI1Nzg4._V1_SX300.jpg,/img/posters/2015/top-gun-1986.jpg
2015-06-05T00:00:00-04:00,crocheron-park,"The Lego Movie",2014,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",http://www.nycgovparks.org/parks/crocheron-park/events/2015/06/05/the-lego-movie,,"Amenities: BYOPicnics, food trucks, awesomeness",PG,http://ia.media-imdb.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,/img/posters/2015/the-lego-movie-2014.jpg
2015-06-07T00:00:00-04:00,yotel,Ghostbusters,1984,"Three former parapsychology professors set up shop as a unique ghost removal service.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,/img/posters/2015/ghostbusters-1984.jpg
2015-06-08T00:00:00-04:00,yotel,Manhattan,1979,"The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",R,http://ia.media-imdb.com/images/M/MV5BMjI4MDIyNjcxMl5BMl5BanBnXkFtZTcwNjA4OTYwNA@@._V1_SX300.jpg,/img/posters/2015/manhattan-1979.jpg
2015-06-08T00:00:00-04:00,death-ave,"Some Like it Hot",1959,"When two musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",http://www.deathave.com/pdf/MovieNights.pdf,,"Amenities: Adjacent to the High Line, hanging lanterns, heat lamps, blankets, retractable roof, and restaurant",,http://ia.media-imdb.com/images/M/MV5BNzYzMDkzNDQ0N15BMl5BanBnXkFtZTcwNzQ0NDQyNA@@._V1_SX300.jpg,/img/posters/2015/some-like-it-hot-1959.jpg
2015-06-09T00:00:00-04:00,yotel,"Breakfast at Tiffany's",1961,"A young New York socialite becomes interested in a young man who has moved into her apartment building.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",,http://ia.media-imdb.com/images/M/MV5BMzg3NTI2NzU2NF5BMl5BanBnXkFtZTcwMjQxMTQ5OQ@@._V1_SX300.jpg,/img/posters/2015/breakfast-at-tiffany-s-1961.jpg
2015-06-09T00:00:00-04:00,roosevelt-hotel,Tombstone,1993,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",http://www.mad46.com/default154e.html?pg=movies,,"Amenities: Themed cocktails, food service",R,http://ia.media-imdb.com/images/M/MV5BMTQ3NzYwMjAyNV5BMl5BanBnXkFtZTgwMjk0NzQxMTE@._V1_SX300.jpg,/img/posters/2015/tombstone-1993.jpg
2015-06-10T00:00:00-04:00,yotel,Birdman,2014,"A portrait of Robert, a troubled but poetic soul struggling with his purgatorial existence in a hackney scrapyard.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",,,
2015-06-11T00:00:00-04:00,72nd-riverside-park,"Hyde Park on Hudson",2012,"The story of the love affair between FDR and his distant cousin Margaret ""Daisy"" Suckley, centered around the weekend in 1939 when the King and Queen of the United Kingdom visited upstate New York.",http://www.nycgovparks.org/events/free_summer_movies,,"Amenities: BYOPicnics, nearby restaurants",R,http://ia.media-imdb.com/images/M/MV5BNjU1MzU3Nzc4OF5BMl5BanBnXkFtZTcwOTk5NDI4Nw@@._V1_SX300.jpg,/img/posters/2015/hyde-park-on-hudson-2012.jpg
2015-06-12T00:00:00-04:00,macneil-park,Frozen,2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",http://www.nycgovparks.org/events/free_summer_movies,,"Amenities: BYOPicnics, food trucks, manic children/manic 30-year-olds singing “Let It Go”",PG,http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,/img/posters/2015/frozen-2013.jpg
2015-06-14T00:00:00-04:00,yotel,"The Goonies",1985,"In order to save their home from foreclosure, a group of misfits set out to find a pirate's ancient treasure.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMTEyMzM3NDQyMjJeQTJeQWpwZ15BbWU4MDE4ODY0NjEx._V1_SX300.jpg,/img/posters/2015/the-goonies-1985.jpg
2015-06-15T00:00:00-04:00,yotel,"The Usual Suspects",1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",R,http://ia.media-imdb.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_SX300.jpg,/img/posters/2015/the-usual-suspects-1995.jpg
2015-06-15T00:00:00-04:00,randalls-island,Jaws,1975,"When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and a grizzled fisherman set out to stop it.",http://www.nycgovparks.org/events/free_summer_movies,,"Amenities: BYOPicnics, water/skyline views",PG,http://ia.media-imdb.com/images/M/MV5BNDcxODkyMjY4MF5BMl5BanBnXkFtZTgwOTk5NTc5MDE@._V1_SX300.jpg,/img/posters/2015/jaws-1975.jpg
2015-06-15T00:00:00-04:00,death-ave,Notorious,1946,"A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?",http://www.deathave.com/pdf/MovieNights.pdf,,"Amenities: Adjacent to the High Line, hanging lanterns, heat lamps, blankets, retractable roof, and restaurant",APPROVED,http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_SX300.jpg,/img/posters/2015/notorious-1946.jpg
2015-06-16T00:00:00-04:00,yotel,"Dirty Dancing",1987,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG-13,http://ia.media-imdb.com/images/M/MV5BMTc3MDY3ODQ2OV5BMl5BanBnXkFtZTgwOTQ2NTYxMTE@._V1_SX300.jpg,/img/posters/2015/dirty-dancing-1987.jpg
2015-06-17T00:00:00-04:00,yotel,Labyrinth,1986,"A selfish 16-year old girl is given 13 hours to solve a labyrinth and rescue her baby brother when her wish for him to be taken away is granted by the Goblin King.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMTczNTkyOTIzN15BMl5BanBnXkFtZTgwNjY3MjQxMDE@._V1_SX300.jpg,/img/posters/2015/labyrinth-1986.jpg
2015-06-21T00:00:00-04:00,yotel,"Back to the Future",1985,"A young man is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMjA5NTYzMDMyM15BMl5BanBnXkFtZTgwNjU3NDU2MTE@._V1_SX300.jpg,/img/posters/2015/back-to-the-future-1985.jpg
2015-06-22T00:00:00-04:00,yotel,"The Breakfast Club",1985,"Five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",R,http://ia.media-imdb.com/images/M/MV5BMzYyNTQ1Nzk2M15BMl5BanBnXkFtZTcwODk0NTQyMQ@@._V1_SX300.jpg,/img/posters/2015/the-breakfast-club-1985.jpg
2015-06-23T00:00:00-04:00,yotel,Casablanca,1942,"In Casablanca, Morocco during the early days of World War II, an American expatriate meets a former lover, with unforeseen complications.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",PG,http://ia.media-imdb.com/images/M/MV5BMjQwNDYyNTk2N15BMl5BanBnXkFtZTgwMjQ0OTMyMjE@._V1_SX300.jpg,/img/posters/2015/casablanca-1942.jpg
2015-06-23T00:00:00-04:00,roosevelt-hotel,Jack,1996,"Because of an unusual aging disorder that has aged him four times faster than a normal human being, a boy enters the fifth grade for the first time with the appearance of a 40 year old man.",http://www.mad46.com/default154e.html?pg=movies,,"Amenities: Themed cocktails, food service",PG-13,http://ia.media-imdb.com/images/M/MV5BMTczMjIzOTY2M15BMl5BanBnXkFtZTcwMzM3NTYyMQ@@._V1_SX300.jpg,/img/posters/2015/jack-1996.jpg
2015-06-24T00:00:00-04:00,yotel,Amelie,2005,"After moving to Munich with her parents Kristin and Bernd, the 16-year-old Amelie has problems adjusting to her new school. Although the family seems to be happy, her parents are too busy ...",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",,,
2015-06-28T00:00:00-04:00,yotel,"The Big Lebowski",1998,"""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",R,http://ia.media-imdb.com/images/M/MV5BMTQ0NjUzMDMyOF5BMl5BanBnXkFtZTgwODA1OTU0MDE@._V1_SX300.jpg,/img/posters/2015/the-big-lebowski-1998.jpg
2015-06-29T00:00:00-04:00,death-ave,"Annie Hall",1977,"Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.",http://www.deathave.com/pdf/MovieNights.pdf,,"Amenities: Adjacent to the High Line, hanging lanterns, heat lamps, blankets, retractable roof, and restaurant",PG,http://ia.media-imdb.com/images/M/MV5BMTU1NDM2MjkwM15BMl5BanBnXkFtZTcwODU3OTYwNA@@._V1_SX300.jpg,/img/posters/2015/annie-hall-1977.jpg
2015-06-30T00:00:00-04:00,yotel,"Pretty Woman",1990,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",http://www.nyc.rooftopfilmclub.com/newyork.html,,"Amenities: $15 for entrance, $25 gets you a taco and either a glass of sangria or beer, other snacks available",R,http://ia.media-imdb.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg,/img/posters/2015/pretty-woman-1990.jpg
