date,venue,title,year,synopsis,url,cost,details,rating,posterSource,poster
"25 May 2017",faber-park-staten-island,"West Side Story",1961,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",https://www.nycgovparks.org/events/2017/05/25/movies-under-the-stars-west-side-story,,"8:00 p.m. –10:30 p.m.",UNRATED,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_SX300.jpg,/img/posters/2017/west-side-story-1961.jpg
"25 May 2017",tremont-park-bronx,Zootopia,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",https://www.nycgovparks.org/events/2017/05/25/movies-under-the-stars-zootopia,,"8:00 p.m. –10:00 p.m.",PG,https://images-na.ssl-images-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,/img/posters/2017/zootopia-2016.jpg
"26 May 2017",gorman-playground-queens,"Finding Dory",2016,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",https://www.nycgovparks.org/events/2017/05/26/movie-under-the-stars-finding-dory,,"7:30 p.m. –9:30 p.m.",PG,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,/img/posters/2017/finding-dory-2016.jpg
"26 May 2017",willowbrook-park-staten-island,"The Legend of Tarzan",2016,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",https://www.nycgovparks.org/events/2017/05/26/movies-under-the-stars-the-legend-of-tarzan,,"8:00 p.m. –10:00 p.m.",PG-13,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,/img/posters/2017/the-legend-of-tarzan-2016.jpg
"26 May 2017",ferry-point-park-bronx,Fences,2016,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",https://www.nycgovparks.org/events/2017/05/26/movies-under-the-stars-fences,,"8:00 p.m. –10:00 p.m.",PG-13,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg,/img/posters/2017/fences-2016.jpg
"27 May 2017",cpl-thompson-park-staten-island,"Coach Carter",2005,"Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.",https://www.nycgovparks.org/events/2017/05/27/movies-under-the-stars-coach-carter,,"8:00 p.m. –10:30 p.m.",PG-13,https://images-na.ssl-images-amazon.com/images/M/MV5BNWYxZWFiNTItN2FkNS00ZDJmLWE1MWItYjMyMTgyOTI4MmQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2017/coach-carter-2005.jpg
"27 May 2017",kissena-corridor-park-queens,"Monsters University",2013,"A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.",https://www.nycgovparks.org/events/2017/05/27/movie-under-the-stars-zootopia,,"8:00 p.m. –10:00 p.m.",G,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,/img/posters/2017/monsters-university-2013.jpg
"27 May 2017",concrete-plant-park-bronx,Sing,2016,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",https://www.nycgovparks.org/events/2017/05/27/movies-under-the-stars-sing,,"8:00 p.m. –10:00 p.m.",PG,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_SX300.jpg,/img/posters/2017/sing-2016.jpg
"27 May 2017",playground-89-manhattan,"Ice Age: Collision Course",2016,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",https://www.nycgovparks.org/events/2017/05/27/movies-under-the-stars-ice-age-collision-course,,"8:00 p.m. –11:30 p.m.",PG,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_SX300.jpg,/img/posters/2017/ice-age-collision-course-2016.jpg
"28 May 2017",randalls-island-park-manhattan,"Fantastic Beasts and Where to Find Them",2016,"The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",https://www.nycgovparks.org/events/2017/05/28/outdoor-movie-night-fantastic-beasts-and-where-to-find-them,,"8:30 p.m. –10:45 p.m.",PG-13,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,/img/posters/2017/fantastic-beasts-and-where-to-find-them-2016.jpg
"2 Jun 2017",westbourne-playground-queens,"The Lorax",2012,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",https://www.nycgovparks.org/events/2017/06/02/movie-nights-in-the-rockways,,"8:00 p.m. –11:00 p.m.",PG,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_SX300.jpg,/img/posters/2017/the-lorax-2012.jpg
